ipa,filename,source_filename
/i/,i.mp3,Vowels/i.mp3
/ɪ/,ih.mp3,Vowels/small_cap_i-p6cj9p.mp3
/eɪ/,ey.mp3,Vowels/e-qxx7n8.mp3
/ɛ/,eh.mp3,Vowels/epsilon-yoyztd.mp3
/æ/,ae.mp3,Vowels/ash-qgmo8e.mp3
/ɑ/,aa.mp3,Vowels/ah-1f3x3pk.mp3
/ʌ/,uh.mp3,Vowels/mid_central-gqxn5h.mp3
/ɔ/,aw.mp3,Vowels/open_o-1olavce.mp3
/ʊ/,uu.mp3,Vowels/horseshoe-1inthj0.mp3
/u/,u.mp3,Vowels/u-1mr7xyn.mp3
/oʊ/,oh.mp3,Vowels/o-c3q2rv.mp3
/aɪ/,ai.mp3,Vowels/ai-vmgin8.mp3
/aʊ/,au.mp3,Vowels/ow-mmmc8y.mp3
/ɔɪ/,oi.mp3,Vowels/oi-15ych4z.mp3
/p/,p.mp3,Consonant/p-1it7yor.mp3
/b/,b.mp3,Consonant/b-1r9c1qm.mp3
/t/,t.mp3,Consonant/t-1ygqg9g.mp3
/d/,d.mp3,Consonant/d-9gcnn8.mp3
/k/,k.mp3,Consonant/k-19h13fx.mp3
/g/,g.mp3,Consonant/g-yfu8hw.mp3
/f/,f.mp3,Consonant/f-1o300yb.mp3
/v/,v.mp3,Consonant/v-1byjed.mp3
/θ/,th.mp3,Consonant/theta-ip7r5s.mp3
/ð/,dh.mp3,Consonant/eth-icm6j7.mp3
/s/,s.mp3,Consonant/s-uozw9d.mp3
/z/,z.mp3,Consonant/z-4qicum.mp3
/ʃ/,sh.mp3,Consonant/sh-fpj6ik.mp3
/ʒ/,zh.mp3,Consonant/zh-fy90bw.mp3
/h/,h.mp3,Consonant/h-1mgl9zt.mp3
/tʃ/,ch.mp3,Consonant/voiceless_affricate-1athyop.mp3
/dʒ/,jh.mp3,Consonant/voiced_affricate-1f87c12.mp3
/m/,m.mp3,Consonant/m-guw48u.mp3
/n/,n.mp3,Consonant/n-1smc314.mp3
/ŋ/,ng.mp3,Vowels/eng-k596t3.mp3
/l/,l.mp3,Vowels/l-1o1w14c.mp3
/ɹ/,r.mp3,Consonant/r-1xq1912.mp3
/w/,w.mp3,Vowels/w-1dz44nh.mp3
/j/,y.mp3,Consonant/j-x57k1g.mp3
